run,step,score
728,97,2.0
729,145,1.0
730,183,1.0
731,97,3.0
732,102,2.0
733,274,6.0
734,255,1.0
735,105,1.0
736,444,8.0
737,309,3.0
738,154,3.0
739,209,3.0
740,455,8.0
741,166,2.0
742,221,4.0
743,145,2.0
744,209,1.0
745,160,2.0
746,112,4.0
747,96,2.0
748,486,6.0
749,215,3.0
750,98,1.0
751,295,5.0
752,311,3.0
753,302,9.0
754,271,5.0
755,250,4.0
756,120,1.0
757,756,18.0
758,104,1.0
759,176,2.0
760,213,2.0
761,98,3.0
762,405,2.0
763,245,5.0
764,80,0.0
765,467,8.0
766,193,1.0
767,127,3.0
768,173,0.0
769,215,2.0
770,82,2.0
771,90,1.0
772,137,0.0
773,140,5.0
774,100,1.0
775,283,5.0
776,180,1.0
777,360,7.0
778,112,0.0
779,156,4.0
780,96,2.0
781,153,1.0
782,108,2.0
783,134,2.0
784,453,12.0
785,222,1.0
786,251,3.0
787,202,4.0
788,82,2.0
789,92,1.0
790,208,2.0
791,84,1.0
792,95,1.0
793,210,3.0
794,99,2.0
795,121,1.0
796,202,2.0
797,126,3.0
798,160,3.0
799,270,5.0
800,159,0.0
801,126,1.0
802,199,2.0
803,164,3.0
804,286,9.0
805,113,1.0
806,210,3.0
807,85,0.0
808,243,3.0
809,144,0.0
810,117,3.0
811,377,6.0
812,81,0.0
813,165,4.0
814,318,5.0
815,182,1.0
816,114,2.0
817,255,9.0
818,206,2.0
819,312,6.0
820,545,9.0
821,158,3.0
822,239,2.0
823,328,6.0
824,318,3.0
825,95,1.0
826,166,2.0
827,94,3.0
828,84,2.0
829,210,5.0
830,237,6.0
831,587,10.0
832,195,1.0
833,147,5.0
834,145,1.0
835,199,5.0
836,312,5.0
837,190,0.0
838,213,2.0
839,83,2.0
840,101,1.0
841,294,5.0
842,273,2.0
843,172,0.0
844,209,3.0
845,128,3.0
846,194,1.0
847,256,3.0
848,229,2.0
849,94,1.0
850,185,2.0
851,96,2.0
852,109,1.0
853,192,2.0
854,93,1.0
855,495,9.0
856,263,5.0
857,215,2.0
858,86,0.0
859,235,4.0
860,240,5.0
861,234,2.0
862,215,2.0
863,77,2.0
864,92,0.0
865,197,4.0
866,78,2.0
867,405,6.0
868,338,11.0
869,199,1.0
870,242,0.0
871,542,12.0
872,234,1.0
873,471,2.0
874,330,7.0
875,360,4.0
876,151,4.0
877,219,2.0
878,486,7.0
879,100,2.0
880,203,3.0
881,311,4.0
882,127,1.0
883,192,3.0
884,107,2.0
885,193,3.0
886,205,2.0
887,95,2.0
888,105,2.0
889,197,3.0
890,82,2.0
891,387,2.0
892,447,5.0
893,140,1.0
894,90,1.0
895,224,3.0
896,96,1.0
897,166,2.0
898,579,7.0
899,274,7.0
900,258,3.0
901,216,3.0
902,159,2.0
903,347,3.0
904,199,3.0
905,141,3.0
906,168,0.0
907,219,1.0
908,515,16.0
909,153,3.0
910,221,3.0
911,252,3.0
912,196,0.0
913,280,5.0
914,153,3.0
915,158,1.0
916,194,3.0
917,192,4.0
918,104,0.0
919,186,1.0
920,123,3.0
921,108,0.0
922,215,2.0
923,186,5.0
924,559,9.0
925,205,5.0
926,298,2.0
927,195,3.0
928,202,2.0
929,239,5.0
930,108,0.0
931,786,16.0
932,134,2.0
933,259,3.0
934,258,6.0
935,220,2.0
936,351,3.0
937,234,5.0
938,81,2.0
939,324,2.0
940,275,4.0
941,147,2.0
942,425,8.0
943,236,4.0
944,133,3.0
945,240,2.0
946,600,8.0
947,120,0.0
948,161,4.0
949,397,4.0
950,489,12.0
951,98,1.0
952,198,3.0
953,331,7.0
954,187,2.0
955,311,6.0
956,242,3.0
957,476,5.0
958,274,4.0
959,168,2.0
960,237,3.0
961,196,1.0
962,268,4.0
963,172,2.0
964,201,2.0
965,132,3.0
966,180,1.0
967,242,2.0
968,114,2.0
969,160,0.0
970,143,1.0
971,119,4.0
972,107,1.0
973,394,6.0
974,172,2.0
975,449,7.0
976,425,4.0
977,121,2.0
978,108,1.0
979,425,9.0
980,159,2.0
981,231,2.0
982,206,6.0
983,108,3.0
984,442,3.0
985,544,12.0
986,289,3.0
987,130,1.0
988,220,0.0
989,98,2.0
990,96,0.0
991,224,2.0
992,77,2.0
993,191,1.0
994,246,7.0
995,110,0.0
996,304,4.0
997,569,10.0
998,153,2.0
999,110,1.0
1000,125,0.0
1001,278,3.0
1002,337,6.0
1003,194,4.0
1004,130,4.0
1005,108,0.0
1006,284,3.0
1007,158,2.0
1008,167,2.0
1009,259,6.0
1010,203,0.0
1011,160,3.0
1012,198,3.0
1013,77,2.0
1014,94,2.0
1015,222,1.0
1016,270,3.0
1017,155,3.0
1018,116,0.0
1019,126,2.0
1020,82,2.0
1021,225,6.0
1022,94,2.0
1023,180,2.0
1024,198,5.0
1025,82,2.0
1026,93,1.0
1027,508,7.0
1028,103,1.0
1029,95,0.0
1030,252,4.0
1031,97,0.0
1032,157,1.0
1033,268,4.0
1034,323,1.0
1035,95,0.0
1036,256,7.0
1037,187,1.0
1038,198,3.0
1039,198,2.0
1040,94,1.0
1041,270,1.0
1042,471,4.0
1043,96,1.0
1044,115,2.0
1045,212,4.0
1046,80,2.0
1047,417,4.0
1048,307,5.0
1049,145,0.0
1050,109,1.0
1051,271,4.0
1052,1070,13.0
