run,total_step,score
475,111762,2.0
476,111896,4.0
477,112076,2.0
478,112350,7.0
479,112670,5.0
480,112856,0.0
481,113096,5.0
482,113337,0.0
483,113462,0.0
484,113735,2.0
485,113910,1.0
486,114094,2.0
487,114257,3.0
488,114359,3.0
489,114585,5.0
490,114997,8.0
491,115191,5.0
492,115270,1.0
493,115483,7.0
494,115833,5.0
495,115926,2.0
496,116070,1.0
497,116194,2.0
498,116753,17.0
499,116881,1.0
500,117032,3.0
501,117492,8.0
502,117676,1.0
503,117774,2.0
504,117867,2.0
505,118115,9.0
506,118267,1.0
507,118346,0.0
508,118620,8.0
509,119002,1.0
510,119158,1.0
511,119373,3.0
512,119500,3.0
513,119782,4.0
514,120025,1.0
515,120652,19.0
516,121366,9.0
517,121477,1.0
518,121575,1.0
519,122412,13.0
520,122692,4.0
521,122995,3.0
522,123152,0.0
523,123523,5.0
524,123608,0.0
525,123700,1.0
526,124105,9.0
527,124390,0.0
528,124470,1.0
529,124591,1.0
530,124983,4.0
531,125103,4.0
532,125220,0.0
533,125350,0.0
534,125516,2.0
535,125654,1.0
536,125787,2.0
537,125888,3.0
538,126000,0.0
539,126150,1.0
540,126272,3.0
541,126392,0.0
542,126620,3.0
543,126983,5.0
544,127088,1.0
545,127183,0.0
546,127306,1.0
547,127729,10.0
548,128173,6.0
549,128382,0.0
550,128493,1.0
551,128712,6.0
552,128873,2.0
553,129045,1.0
554,129363,10.0
555,129523,2.0
556,129670,0.0
557,129870,3.0
558,130285,5.0
559,130496,4.0
560,130690,2.0
561,130908,3.0
562,131120,3.0
563,131771,10.0
564,131875,1.0
565,131983,1.0
566,132124,4.0
567,132208,2.0
568,132635,12.0
569,132941,3.0
570,133044,0.0
571,133304,3.0
572,133508,2.0
573,133676,5.0
574,133968,7.0
575,134371,3.0
576,134472,3.0
577,134677,1.0
578,134800,3.0
579,135080,4.0
580,135333,3.0
581,135688,8.0
582,135843,2.0
583,136052,6.0
584,136198,2.0
585,136355,1.0
586,136561,4.0
587,136765,4.0
588,137184,10.0
589,137461,3.0
590,137608,1.0
591,137826,4.0
592,137946,0.0
593,138177,4.0
594,138488,2.0
595,138728,3.0
596,138829,1.0
597,138937,0.0
598,139310,5.0
599,139392,0.0
600,139660,2.0
601,139777,1.0
602,140289,14.0
603,140487,3.0
604,140691,3.0
605,140793,3.0
606,141128,4.0
607,141303,2.0
608,141450,5.0
609,141627,2.0
610,141967,7.0
611,142091,1.0
612,142200,0.0
613,142314,1.0
614,142405,1.0
615,142535,4.0
616,142690,2.0
617,142861,3.0
618,143129,2.0
619,143322,0.0
620,143451,1.0
621,143757,5.0
622,144129,6.0
623,144328,0.0
624,144441,1.0
625,144777,8.0
626,145120,0.0
627,145208,2.0
628,145479,7.0
629,146228,14.0
630,146728,14.0
631,146809,1.0
632,146972,3.0
633,147112,0.0
634,147861,14.0
635,147943,0.0
636,148078,1.0
637,148175,2.0
638,148269,2.0
639,148497,7.0
640,148598,1.0
641,149059,8.0
642,149281,1.0
643,149377,2.0
644,149515,0.0
645,149789,3.0
646,149947,4.0
647,150266,5.0
648,150384,0.0
649,150529,2.0
650,150815,6.0
651,151022,4.0
652,151107,2.0
653,151441,5.0
654,151651,4.0
655,151938,2.0
656,152199,2.0
657,152368,0.0
658,152483,3.0
659,152713,5.0
660,153013,9.0
661,153199,2.0
662,153406,1.0
663,153554,1.0
664,153877,5.0
665,154067,1.0
666,154274,3.0
667,154351,2.0
668,154451,1.0
669,154593,0.0
670,154708,0.0
671,154898,2.0
672,155023,1.0
673,155385,5.0
674,155495,1.0
675,155659,0.0
676,155824,4.0
677,156114,3.0
678,156567,13.0
679,156893,8.0
680,156992,1.0
681,157163,1.0
682,157290,1.0
683,157386,2.0
684,157601,2.0
685,157683,2.0
686,157879,1.0
687,157996,1.0
688,158194,6.0
689,158504,2.0
690,158698,1.0
691,159150,14.0
692,159279,0.0
693,159819,14.0
694,160204,8.0
695,160299,1.0
696,160732,9.0
697,160879,1.0
698,161161,8.0
699,161574,8.0
700,161756,3.0
701,161866,0.0
702,162066,5.0
703,162271,4.0
704,162542,2.0
705,162778,7.0
706,163071,2.0
707,163175,1.0
708,163436,1.0
709,163778,9.0
710,163932,0.0
711,164135,1.0
712,164259,3.0
713,164463,2.0
714,164884,11.0
715,165162,0.0
716,165269,1.0
717,165408,0.0
718,165594,3.0
719,165697,1.0
720,165949,4.0
721,166196,1.0
722,166314,1.0
723,166528,4.0
724,166635,2.0
725,167046,4.0
726,167469,8.0
727,167726,1.0
728,167988,5.0
729,168249,3.0
730,168565,6.0
731,168864,3.0
732,169110,6.0
733,169332,4.0
734,169508,2.0
735,169696,2.0
736,170239,17.0
737,170478,1.0
738,170783,8.0
739,171047,4.0
740,171391,5.0
741,171592,6.0
742,171688,2.0
743,172136,6.0
744,172321,4.0
745,172482,3.0
746,172826,6.0
747,173355,15.0
748,174160,18.0
749,174266,1.0
750,174472,5.0
751,174573,1.0
752,174797,1.0
753,175057,6.0
754,175260,0.0
755,175465,5.0
756,175611,2.0
757,175745,3.0
758,175843,1.0
759,176557,17.0
760,176715,3.0
761,176812,1.0
762,177215,7.0
763,177500,2.0
764,177594,1.0
765,177805,6.0
766,177881,2.0
767,178093,1.0
768,178812,13.0
769,179021,1.0
770,179108,3.0
771,179494,8.0
772,179575,0.0
773,180012,4.0
774,180239,5.0
775,180403,1.0
776,180543,0.0
777,180825,6.0
778,180996,3.0
779,181336,4.0
780,181562,5.0
781,181939,10.0
782,182062,2.0
783,182317,1.0
784,182467,1.0
785,182590,0.0
786,182812,5.0
787,183651,7.0
788,183732,3.0
789,183942,2.0
790,184325,6.0
791,184520,1.0
792,184725,6.0
793,185170,10.0
794,185302,0.0
795,185552,6.0
796,185737,2.0
797,186012,5.0
798,186208,2.0
799,186335,3.0
800,186671,3.0
801,186864,5.0
802,187066,5.0
803,187170,0.0
804,187423,7.0
805,187524,1.0
806,187889,1.0
807,188092,5.0
808,188184,2.0
809,188362,5.0
810,188630,3.0
811,188897,2.0
812,188987,2.0
813,189262,6.0
814,189365,0.0
815,189539,3.0
816,189669,0.0
817,190624,20.0
818,190759,1.0
819,191043,5.0
820,191264,2.0
821,191377,1.0
822,191982,13.0
823,192124,1.0
824,192347,5.0
825,192449,2.0
826,192805,1.0
827,193313,9.0
828,193417,2.0
829,193602,2.0
830,193984,3.0
831,194317,7.0
832,194694,1.0
833,194930,6.0
834,195329,5.0
835,195530,4.0
836,195909,8.0
837,196251,3.0
838,196336,0.0
839,196450,1.0
840,196664,4.0
841,197003,9.0
842,197118,1.0
843,197209,1.0
844,197424,6.0
845,197952,10.0
846,198137,3.0
847,198441,4.0
848,198549,1.0
849,198925,7.0
850,199192,2.0
851,199305,0.0
852,199452,1.0
853,199571,3.0
854,199828,6.0
855,199964,3.0
856,200105,0.0
857,200282,0.0
858,200440,5.0
859,200725,2.0
860,200904,1.0
861,200995,2.0
862,201614,10.0
863,201808,6.0
864,202088,5.0
865,202174,0.0
866,202552,7.0
867,202654,0.0
868,202803,2.0
869,203027,5.0
870,203126,3.0
871,203438,3.0
872,203695,5.0
873,203799,0.0
874,203938,1.0
875,204051,1.0
876,204540,12.0
877,204617,1.0
878,204825,5.0
879,205411,15.0
880,205586,1.0
881,205808,5.0
882,205943,2.0
883,206213,3.0
884,206326,1.0
885,206497,1.0
886,206590,2.0
887,206780,2.0
888,206869,1.0
889,207026,3.0
890,207382,8.0
891,207641,0.0
892,207970,3.0
893,208333,7.0
894,208429,1.0
895,208667,3.0
896,208780,1.0
897,208891,1.0
898,208974,3.0
899,209119,2.0
900,209214,1.0
901,209315,3.0
902,209530,2.0
903,209810,2.0
904,209911,1.0
905,210121,4.0
906,210205,2.0
907,210535,4.0
908,210816,5.0
909,211008,0.0
910,211349,6.0
911,211488,3.0
912,211674,6.0
913,212114,2.0
914,212327,2.0
915,212515,2.0
916,212730,2.0
917,213015,7.0
