run,step,score
548,851,240.0
549,487,105.0
550,824,165.0
551,803,165.0
552,529,120.0
553,673,205.0
554,1107,295.0
555,828,185.0
556,607,95.0
557,645,125.0
558,741,120.0
559,512,50.0
560,831,205.0
561,305,55.0
562,629,170.0
563,414,110.0
564,721,445.0
565,561,105.0
566,888,285.0
567,986,150.0
568,495,110.0
569,1045,195.0
570,787,165.0
571,349,75.0
572,494,75.0
573,491,110.0
574,486,25.0
575,596,150.0
576,1054,425.0
577,975,240.0
578,899,120.0
579,1149,265.0
580,365,105.0
581,331,60.0
582,898,190.0
583,994,285.0
584,977,245.0
585,406,75.0
586,1409,410.0
587,376,85.0
588,360,85.0
589,810,210.0
590,607,110.0
591,639,80.0
592,398,105.0
593,894,160.0
594,526,125.0
595,799,235.0
596,1150,295.0
597,1329,460.0
598,1548,610.0
599,634,155.0
600,349,80.0
601,684,105.0
602,839,220.0
603,837,210.0
604,955,205.0
605,658,70.0
606,505,140.0
607,978,215.0
608,437,110.0
609,634,180.0
610,807,240.0
611,450,110.0
612,374,75.0
613,848,155.0
614,937,230.0
615,786,210.0
616,631,105.0
617,386,75.0
618,648,130.0
619,564,55.0
620,996,640.0
621,358,50.0
622,455,120.0
623,654,175.0
624,353,80.0
625,813,210.0
626,826,210.0
627,684,110.0
628,692,160.0
629,1074,345.0
630,661,75.0
631,564,65.0
632,802,165.0
633,699,160.0
634,393,50.0
635,587,105.0
636,641,105.0
637,1456,510.0
638,962,330.0
639,689,110.0
640,341,75.0
641,1233,165.0
642,404,75.0
643,686,170.0
644,1064,185.0
645,1192,165.0
646,590,65.0
647,613,120.0
648,866,190.0
649,826,210.0
650,500,45.0
651,438,110.0
652,484,105.0
653,362,105.0
654,785,185.0
655,815,280.0
656,815,125.0
657,498,100.0
658,957,420.0
659,796,240.0
660,751,285.0
661,732,145.0
662,382,50.0
663,339,85.0
664,762,165.0
665,620,75.0
666,803,140.0
667,584,105.0
668,761,185.0
669,573,65.0
670,952,165.0
671,859,295.0
672,1056,275.0
673,688,325.0
674,644,160.0
675,795,150.0
676,1074,280.0
677,693,150.0
678,625,185.0
679,627,140.0
680,804,225.0
681,635,145.0
682,661,180.0
683,1203,510.0
684,462,110.0
685,432,85.0
686,504,40.0
687,884,220.0
688,1049,250.0
689,616,145.0
690,417,100.0
691,659,160.0
692,451,55.0
693,505,120.0
694,788,195.0
695,910,490.0
696,862,255.0
697,460,115.0
698,537,70.0
699,1357,235.0
700,754,170.0
701,500,110.0
702,1063,260.0
703,646,135.0
704,1063,210.0
705,780,155.0
706,337,30.0
707,1246,420.0
708,468,50.0
709,1074,135.0
710,739,205.0
711,602,170.0
712,663,210.0
713,634,85.0
714,640,105.0
715,342,30.0
716,837,215.0
717,663,115.0
718,795,415.0
719,774,185.0
720,1022,450.0
721,769,250.0
722,318,40.0
723,903,90.0
724,649,185.0
725,1261,300.0
726,493,55.0
727,511,105.0
728,1046,365.0
729,964,495.0
730,641,110.0
731,767,190.0
732,1519,545.0
733,653,150.0
734,1059,145.0
735,942,175.0
736,363,25.0
737,631,110.0
738,785,165.0
739,1277,355.0
740,654,115.0
741,423,110.0
742,818,385.0
743,542,75.0
744,649,125.0
745,1473,520.0
746,790,115.0
747,607,110.0
748,691,135.0
749,638,155.0
750,1061,510.0
751,895,345.0
752,1079,115.0
753,1009,220.0
754,502,55.0
755,486,115.0
756,492,130.0
757,699,115.0
758,718,165.0
759,998,460.0
760,436,110.0
761,834,235.0
762,403,105.0
763,798,210.0
764,1045,290.0
765,739,105.0
766,616,125.0
767,808,210.0
768,998,205.0
769,493,90.0
770,528,95.0
771,389,30.0
772,789,135.0
773,342,105.0
774,1009,245.0
775,807,120.0
776,791,155.0
777,513,80.0
778,1059,315.0
779,703,140.0
780,393,75.0
781,601,135.0
782,813,120.0
783,414,50.0
784,641,160.0
785,619,215.0
786,1149,425.0
787,625,195.0
788,521,120.0
789,694,335.0
790,1238,455.0
791,928,200.0
792,342,50.0
793,1086,515.0
794,817,205.0
795,797,170.0
796,939,190.0
797,340,80.0
798,988,165.0
799,633,100.0
800,787,185.0
801,779,200.0
802,363,60.0
803,702,120.0
804,558,115.0
805,854,220.0
806,626,150.0
807,674,185.0
808,647,120.0
809,787,195.0
810,792,135.0
811,626,170.0
812,1245,395.0
813,610,115.0
814,574,90.0
815,369,60.0
816,925,190.0
817,795,155.0
818,803,185.0
819,666,160.0
820,780,135.0
